con_id,month,year,unitsconsumed,assessment,totalcollection,category,billdate
10150047454,3,2018,29,126,124,DS1,3/1/2018
10150047454,4,2018,NA,NA,NA,DS1,4/1/2018
10150047454,5,2018,NA,NA,NA,DS1,5/1/2018
10150047454,6,2018,NA,NA,NA,DS1,6/1/2018
10150047454,7,2018,147,664,0,DS1,7/1/2018
10150047454,8,2018,NA,NA,NA,DS1,8/1/2018
10150047454,9,2018,40,199,0,DS1,9/1/2018
10150047454,10,2018,33,173,173,DS1,10/1/2018
10150047454,11,2018,32,163,0,DS1,11/1/2018
10150047454,12,2018,32,165,165,DS1,12/1/2018
12720015187,1,2018,140,576,0,DS1,1/1/2018
12720015187,2,2018,93,399,0,DS1,2/1/2018
12720015187,3,2018,21,109,0,DS1,3/1/2018
12720015187,4,2018,99,422,0,DS1,4/1/2018
12720015187,5,2018,60,266,0,DS1,5/1/2018
12720015187,6,2018,56,255,0,DS1,6/1/2018
12720015187,7,2018,NA,NA,NA,DS1,7/1/2018
12720015187,8,2018,NA,NA,NA,DS1,8/1/2018
12720015187,9,2018,NA,NA,NA,DS1,9/1/2018
12720015187,10,2018,NA,NA,NA,DS1,10/1/2018
12720015187,11,2018,NA,NA,NA,DS1,11/1/2018
12720015187,12,2018,255,996,0,DS1,12/1/2018
12720029615,1,2018,240,1054,0,DS1,1/1/2018
12720029615,2,2018,80,365,0,DS1,2/1/2018
12720029615,3,2018,80,441,0,DS1,3/1/2018
12720029615,4,2018,105,374,0,DS1,4/1/2018
12720029615,5,2018,105,459,0,DS1,5/1/2018
12720029615,6,2018,105,383,0,DS1,6/1/2018
12720029615,7,2018,NA,NA,NA,DS1,7/1/2018
12720029615,8,2018,NA,NA,NA,DS1,8/1/2018
12720029615,9,2018,NA,NA,NA,DS1,9/1/2018
12720029615,10,2018,210,891,0,DS1,10/1/2018
12720029615,11,2018,NA,NA,NA,DS1,11/1/2018
12720029615,12,2018,210,917,0,DS1,12/1/2018
12720103520,1,2018,80,324,0,DS1,1/1/2018
12720103520,2,2018,80,329,0,DS1,2/1/2018
12720103520,3,2018,80,333,0,DS1,3/1/2018
12720103520,4,2018,105,338,338,DS1,4/1/2018
12720103520,5,2018,105,305,0,DS1,5/1/2018
12720103520,6,2018,105,306,0,DS1,6/1/2018
12720103520,7,2018,105,310,310,DS1,7/1/2018
12720103520,8,2018,NA,NA,NA,DS1,8/1/2018
12720103520,9,2018,105,306,290,DS1,9/1/2018
12720103520,10,2018,105,298,298,DS1,10/1/2018
12720103520,11,2018,105,298,293,DS1,11/1/2018
12720103520,12,2018,105,302,0,DS1,12/1/2018
12720104106,1,2018,80,324,0,DS1,1/1/2018
12720104106,2,2018,80,360,0,DS1,2/1/2018
12720104106,3,2018,NA,NA,NA,DS1,3/1/2018
12720104106,4,2018,NA,NA,NA,DS1,4/1/2018
12720104106,5,2018,315,999,0,DS1,5/1/2018
12720104106,6,2018,105,347,0,DS1,6/1/2018
12720104106,7,2018,105,351,0,DS1,7/1/2018
12720104106,8,2018,NA,NA,NA,DS1,8/1/2018
12720104106,9,2018,105,422,0,DS1,9/1/2018
12720104106,10,2018,105,364,0,DS1,10/1/2018
12720104106,11,2018,105,369,369,DS1,11/1/2018
12720104106,12,2018,105,298,0,DS1,12/1/2018
10150012620,1,2018,22,108,0,DS1,1/1/2018
10150012620,2,2018,NA,NA,NA,DS1,2/1/2018
10150012620,3,2018,24,117,0,DS1,3/1/2018
10150012620,4,2018,NA,NA,NA,DS1,4/1/2018
10150012620,5,2018,63,322,322,DS1,5/1/2018
10150012620,6,2018,NA,NA,NA,DS1,6/1/2018
10150012620,7,2018,27,135,0,DS1,7/1/2018
10150012620,8,2018,26,128,0,DS1,8/1/2018
10150012620,9,2018,27,134,134,DS1,9/1/2018
10150012620,10,2018,38,186,0,DS1,10/1/2018
10150012620,11,2018,NA,NA,NA,DS1,11/1/2018
10150012620,12,2018,28,140,0,DS1,12/1/2018
10150012686,1,2018,45,187,0,DS1,1/1/2018
10150012686,2,2018,45,192,192,DS1,2/1/2018
10150012686,3,2018,46,162,0,DS1,3/1/2018
10150012686,4,2018,55,208,0,DS1,4/1/2018
10150012686,5,2018,NA,NA,NA,DS1,5/1/2018
10150012686,6,2018,63,233,0,DS1,6/1/2018
10150012686,7,2018,41,153,0,DS1,7/1/2018
10150012686,8,2018,53,208,0,DS1,8/1/2018
10150012686,9,2018,NA,NA,NA,DS1,9/1/2018
10150012686,10,2018,90,356,0,DS1,10/1/2018
10150012686,11,2018,48,205,0,DS1,11/1/2018
10150012686,12,2018,48,210,0,DS1,12/1/2018
10150014723,1,2018,46,292,0,DS1,1/1/2018
10150014723,2,2018,42,223,0,DS1,2/1/2018
10150014723,3,2018,46,302,0,DS1,3/1/2018
10150014723,4,2018,NA,NA,NA,DS1,4/1/2018
10150014723,5,2018,75,437,0,DS1,5/1/2018
10150014723,6,2018,49,332,0,DS1,6/1/2018
10150014723,7,2018,NA,NA,NA,DS1,7/1/2018
10150014723,8,2018,NA,NA,NA,DS1,8/1/2018
10150014723,9,2018,126,717,0,DS1,9/1/2018
10150014723,10,2018,57,385,0,DS1,10/1/2018
10150014723,11,2018,50,364,0,DS1,11/1/2018
10150014723,12,2018,NA,NA,NA,DS1,12/1/2018
1103007446,1,2018,57,213,0,DS1,1/1/2018
1103007446,2,2018,59,221,221,DS1,2/1/2018
1103007446,3,2018,111,403,0,DS1,3/1/2018
1103007446,4,2018,NA,NA,NA,DS1,4/1/2018
1103007446,5,2018,280,634,634,DS1,5/1/2018
1103007446,6,2018,171,620,0,DS1,6/1/2018
1103007446,7,2018,NA,NA,NA,DS1,7/1/2018
1103007446,8,2018,NA,NA,NA,DS1,8/1/2018
1103007446,9,2018,NA,NA,NA,DS1,9/1/2018
1103007446,10,2018,646,1742,0,DS1,10/1/2018
1103007446,11,2018,111,433,0,DS1,11/1/2018
1103007446,12,2018,163,243,243,DS1,12/1/2018
1103028947,1,2018,4,51,51,DS1,1/1/2018
1103028947,2,2018,4,47,0,DS1,2/1/2018
1103028947,3,2018,9,91,0,DS1,3/1/2018
1103028947,4,2018,NA,NA,NA,DS1,4/1/2018
1103028947,5,2018,10,115,0,DS1,5/1/2018
1103028947,6,2018,9,100,0,DS1,6/1/2018
1103028947,7,2018,NA,NA,NA,DS1,7/1/2018
1103028947,8,2018,NA,NA,NA,DS1,8/1/2018
1103028947,9,2018,NA,NA,NA,DS1,9/1/2018
1103028947,10,2018,149,507,0,DS1,10/1/2018
1103028947,11,2018,19,124,0,DS1,11/1/2018
1103028947,12,2018,NA,NA,NA,DS1,12/1/2018
11030056202,1,2018,409,1459,0,DS1,1/1/2018
11030056202,2,2018,NA,NA,NA,DS1,2/1/2018
11030056202,3,2018,NA,NA,NA,DS1,3/1/2018
11030056202,4,2018,NA,NA,NA,DS1,4/1/2018
11030056202,5,2018,NA,NA,NA,DS1,5/1/2018
11030056202,6,2018,0,323,0,DS1,6/1/2018
11030056202,7,2018,27,137,137,DS1,7/1/2018
11030056202,8,2018,9,94,94,DS1,8/1/2018
11030056202,9,2018,NA,NA,NA,DS1,9/1/2018
11030056202,10,2018,NA,NA,NA,DS1,10/1/2018
11030056202,11,2018,NA,NA,NA,DS1,11/1/2018
11030056202,12,2018,NA,NA,NA,DS1,12/1/2018
1102000510,1,2018,80,315,0,DS1,1/1/2018
1102000510,2,2018,80,311,0,DS1,2/1/2018
1102000510,3,2018,80,298,298,DS1,3/1/2018
1102000510,4,2018,80,306,0,DS1,4/1/2018
1102000510,5,2018,105,306,0,DS1,5/1/2018
1102000510,6,2018,105,324,0,DS1,6/1/2018
1102000510,7,2018,105,315,0,DS1,7/1/2018
1102000510,8,2018,105,320,320,DS1,8/1/2018
1102000510,9,2018,105,298,0,DS1,9/1/2018
1102000510,10,2018,105,302,0,DS1,10/1/2018
1102000510,11,2018,105,314,0,DS1,11/1/2018
1102000510,12,2018,105,310,0,DS1,12/1/2018
1102052640,1,2018,80,432,0,DS1,1/1/2018
1102052640,2,2018,80,441,0,DS1,2/1/2018
1102052640,3,2018,80,374,374,DS1,3/1/2018
1102052640,4,2018,80,302,0,DS1,4/1/2018
1102052640,5,2018,105,316,0,DS1,5/1/2018
1102052640,6,2018,105,311,0,DS1,6/1/2018
1102052640,7,2018,105,316,0,DS1,7/1/2018
1102052640,8,2018,105,343,0,DS1,8/1/2018
1102052640,9,2018,105,325,0,DS1,9/1/2018
1102052640,10,2018,105,329,0,DS1,10/1/2018
1102052640,11,2018,105,333,0,DS1,11/1/2018
1102052640,12,2018,105,338,0,DS1,12/1/2018
1102053726,1,2018,51,199,0,DS1,1/1/2018
1102053726,2,2018,62,236,0,DS1,2/1/2018
1102053726,3,2018,7,66,0,DS1,3/1/2018
1102053726,4,2018,182,692,0,DS1,4/1/2018
1102053726,5,2018,83,316,0,DS1,5/1/2018
